startup_name,sector,city,investors,stage,amount_usd,description
Handytrain,Consumer Internet,Goa,"Silver Range Investments, Lumina Datamatics, Shun Yoshida & Others",Private Equity,1000000.0,Consumer Internet - Mobile App for SAAS based Training
Shopsup,Ecommerce,Bengaluru,"Anand Sankeshwar, Yang Shu",Seed,963000.0,eCommerce - Hyperlocal Shopping App
Indofash,Ecommerce,Bengaluru,"Shekhar Sahu, Nitesh Pant",Seed,150000.0,eCommerce - Ethnic Indian Fashion Marketplace
Entropika,Technology,Bengaluru,"Dileep Bhatt, Milind Chaudhary",Seed,200000.0,"Technology - AI, Machine learning Solutions"
Marianaiq,Technology,Bengaluru,Exfinity Venture Partners,Private Equity,2000000.0,Technology - AI-driven B2B marketing platform
Chai Thela,Food & Beverage,Noida,Quarizon,Seed,218000.0,Food & Beverage - Quick Service Restaurants
Interviewpad,Technology,Pune,Krishna Rokhale,Seed,100000.0,Technology - Engineering Interview facilitation platform
Math Buddy,Consumer Internet,Vadodara,Menterra Social Impact Fund,Seed,440000.0,Consumer Internet - Online Math Learn
Pulse,Consumer Internet,Bengaluru,Saif Partners,Private Equity,500000.0,Consumer Internet - Campus Social Networking App
Carcrew.In,Consumer Internet,Mumbai,Tvs Group,Seed,500000.0,Consumer Internet - Online Car repair Marketplace
Mystifly,Consumer Internet,Bengaluru,Recruit Holdings,Private Equity,5000000.0,Consumer Internet - Airline Ticket Aggregator
Uniphore,Technology,Chennai,"Idg Ventures, Indian Angel Network (Ian), Yournest Angel Fund",Private Equity,2000000.0,Technology - Speech Recognition Solutions
World Art Community,Ecommerce,Gurugram,Viraj Tyagi & Others,Seed,200000.0,eCommerce - Art & Craft Marketplace
Giftxoxo,Ecommerce,Bengaluru,Mahindra Holidays & Resorts India Ltd,Private Equity,450000.0,eCommerce - Online Gifting platform
India Gifts Portal,Ecommerce,Noida,"Naveen Arya, Tarun Joshi",Private Equity,2000000.0,eCommerce - Online Gifting platform
Moglix,Ecommerce,Noida,"Accel Partners, Jungle Ventures, Seedplus",Private Equity,4200000.0,eCommerce - Industrial & Home products marketplace
Netlinx,Consumer Internet,Hyderabad,"Xchange Investors Nv, Transglobal Fzc",Private Equity,3000000.0,Consumer Internet - Internet Service Provider
Remitr,Consumer Internet,Mumbai,"Vijay Shekhar Sharma, Pravin Gandhi,\\Xc2\\Xa0 Smart Start Fund; Kunal Shah,\\Xc2\\Xa0 Sandeep Tandon, Vishal Gondal, & Others",Seed,1000000.0,Consumer Internet - Foreign Currency Payments Platform
Innerchef,Consumer Internet,Gurugram,"Mistletoe, M&S Partners",Private Equity,2500000.0,Consumer Internet - Online food ordering platform
Appsdaily,Consumer Internet,Mumbai,"Zodius Capital, Kalaari Capital, Qualcomm Ventures, Russian Venture Capital Fund Ru-Net, Mumbai Angels",Private Equity,3750000.0,"Consumer Internet - Mobile Phone Theft, Damage Protection platform"
Ue Lifesciences,Technology,Mumbai,"Kiran Mazumdar-Shaw, Unitus Seed Fund",Private Equity,1200000.0,Technology - Mobile Health Technology Solutions
Realbox,Technology,Noida,Hyderabad Angels,Seed,300000.0,Technology - Data Sciences Platform
Gozefo,Ecommerce,Bengaluru,"Helion Venture Partners, Beenext",Private Equity,1050000.0,eCommerce - Used Furniture & Appliances Marketplace
Rayiot,Technology,Bengaluru,Hax Accelerator,Seed,100000.0,Technology - Baby Monitoring Devices manufacturer
Kooh Sports,Technology,Mumbai,"Hdfc, Faering Capital, Elevate Sports",Private Equity,2200000.0,Technology - Sports Training & Technology
Flexiloans,Consumer Internet,Mumbai,"Sanjay Nayar, Vikram Sud, Anil Jaggia, Narayan Seshadri",Private Equity,15000000.0,Consumer Internet - Online Funds Raising Platform
Vithi.Com,Ecommerce,Delhi,Undisclosed Investor,Seed,375000.0,eCommerce - Online Hair Extension etailer
Yupp Tv,Consumer Internet,Bengaluru,Emerald Media,Private Equity,50000000.0,Consumer Internet - Internet-based TV streaming service provider
Deyor Camps,Consumer Internet,Gurugram,"Nitin Passi, Manickam Mahalingam, Udaan Angels, Rajesh Arora, Arkas Industries",Seed,500000.0,Consumer Internet - Branded Camping location Aggregator
Faballey,Ecommerce,Noida,"India Quotient, Fao Ventures, Indian Angel Network, Tushar Singh, Ranjan Sharma",Private Equity,2000000.0,ecommerce - online fashion brand store
Robovac,Technology,Ahmedabad,Virendra Patel,Seed,450000.0,Technology - waterless car washing solution
Newspatrolling,Consumer Internet,Delhi,Undisclosed,Seed,25000.0,Consumer Internet - Online News portal
Postman,Consumer Internet,Bengaluru,Nexus Venture Partners,Private Equity,7000000.0,Consumer Internet - API Platform
Isfc,Finance,Hyderabad,Gray Matters Capital,Private Equity,6000000.0,Finance - Education Sector Lending
Dailyhunt,Consumer Internet,Bengaluru,"Bytedance, Arun Sarin, Matrix Partners, Sequoia Capital India, Omidyar Network,\\Xc2\\Xa0 Falcon Edge",Private Equity,25000000.0,Consumer Internet - Vernacular content mobile app
Tazzo Bikes,Consumer Internet,Hyderabad,Dsg Consumer Partners,Seed,227000.0,Consumer Internet - Motorbike rental platform
Mykindofjob,Consumer Internet,Mumbai,"Mayank Shah, Shreyans Shah",Seed,1000000.0,Consumer Internet - Internet & Fresher Job platform
Yumigo,Consumer Internet,Gurugram,Hemant Sahni,Seed,300000.0,Consumer Internet - App based Travel Discovery and Transactions platform
Rentalpha,Others,Mumbai,Bravia Capital,Private Equity,16000000.0,Others - equipment rental and leasing company
3Dexter,Technology,Delhi,Newbie Promoters,Seed,150000.0,Technology - 3D Printing Solutions for Edu space
Mysun,Technology,Noida,General Catalyst Partners,Private Equity,2500000.0,Technology - Solar Energy harnessing products marketplace
Furlenco,Consumer Internet,Bengaluru,"Lightbox Ventures, Axis Capital & Others",Private Equity,30000000.0,Consumer Internet - Online Furniture Rental platform
Fisdom,Consumer Internet,Bengaluru,"Saama Capital, Raghunandan G, Aprameya Radhakrishna",Private Equity,1100000.0,Consumer Internet - Personal Wealth Management Platform & App
Actofit,Technology,Mumbai,Next Orbit Ventures Fund,Private Equity,750000.0,Technology - Wearable Technology platform & devices
Chatongo,Consumer Internet,Mumbai,Janak Jain,Seed,300000.0,Consumer Internet - Hyperlocal\\xc2\\xa0 Communication Mobile app
Healthians,Consumer Internet,Gurugram,Beenext,Private Equity,3000000.0,Consumer Internet - Health Test Discovery & Ordering service
Box8,Consumer Internet,Mumbai,"Iifl Seed Ventures Fund, Mayfield Ventures",Private Equity,7500000.0,Consumer Internet - Online Food Ordering platform/App
Kredx,Ecommerce,Bengaluru,Sequoia Capital,Private Equity,6000000.0,eCommerce - Invoice discounting marketplace
Creditmate,Consumer Internet,Mumbai,India Quotient,Seed,500000.0,Consumer Internet - Credit Report Info platform
Soopermo,Technology,Gurugram,Lalit Vase,Seed,100000.0,Technology - Android utility app suite creator
Orangetwig,Consumer Internet,Delhi,Undisclosed Investor,Seed,1000000.0,Consumer Internet - Social Media Marketing platform
The Kettlery,Ecommerce,Ahmedabad,"Hooting Starts Sports Llp, Franchise India Brands",Private Equity,1000000.0,eCommerce - Online Tea Etailer
Idea Bubbles,Consumer Internet,Bengaluru,"1Crowd, Eureka Forbes Ltd, Shapoorji Pallonji & Co. Ltd.",Private Equity,700000.0,Consumer Internet - Doctor Consulting platform
Fr8,Technology,Chennai,Omnivore Partners,Private Equity,971000.0,Technology - Truck Fleet Operation platform
Ather Energy,Technology,Bengaluru,Hero Motocorp,Private Equity,27000000.0,Technology - Electric Vehicle Manufacturer
Velmenni,Technology,Delhi,Kalaari Capital,Seed,100000.0,Technology - LiFi based wireless communication provider
Volta Motors,Technology,Chennai,Kalaari Capital,Seed,100000.0,Technology - Electric Bike Manufacturer
Cyclops,Technology,Bengaluru,Kalaari Capital,Seed,100000.0,Technology - Clinical and Wearable Diagnostic Product creator
Impact Analytics,Technology,Bengaluru,"Aarin Capital, Michael Herzig, Ashish Lakhanpal",Private Equity,750000.0,Technology - Business intelligence and data science Startup
Talent Next,Consumer Internet,Mumbai,Karanpal Singh & Others,Seed,1000000.0,Consumer Internet - Talent Discovery & Audition management platform
Mihup,Technology,Kolkata,Accel Partners,Private Equity,6700000.0,Technology - Personal Digital Assistant
Eshakti,Ecommerce,Chennai,"Infina Finance Pvt. Ltd, Uday Kotak",Private Equity,1350000.0,eCommerce - Women\xe2\x80\x99s Fashion Apparel eTailer
Cheersoye!,Consumer Internet,Mumbai,Undisclosed Investors,Seed,500000.0,Consumer Internet - Online Gift Vouchers platform
Bigstylist,Consumer Internet,Mumbai,Info Edge (India) Ltd,Private Equity,900000.0,Consumer Internet - Hyperlocal doorstep Beauty Services provider
Zilingo,Ecommerce,Bangalore/ Bangkok,"Venturra Capital, Sequoia India, Susquehanna International Group.\\Xc2\\Xa0 Wavemaker Partners, Beenext, Beenos, Digital Garage",Private Equity,8000000.0,eCommerce - Online Fashion Retailer
Alternacare,Consumer Internet,Delhi,Eros Labs,Seed,500000.0,Consumer Internet - Online Doctor Consulting platform
Simplilearn,Education,Bengaluru,Innoven Capital India,Private Equity,6000000.0,Education - Online Certification programs
Prozo,Ecommerce,Gurugram,"Earlsfield Capital, Sailender Solanki, Rajiv Solanki",Seed,315000.0,eCommerce - Study Material Marketplace
Toprankers,Education,Bengaluru,"Careernet Consulting Pvt. Ltd, Ideation Initiative Pvt. Ltd,",Seed,670000.0,Education - Online Test Preparation platform
Buildtraders,Ecommerce,Bengaluru,Idein Ventures,Seed,200000.0,eCommerce - Online Construction Materials Marketplace
Byju\\Xe2\\X80\\X99S,Education,Bengaluru,"Chan Zuckerberg Initiative, Times Internet Ltd, Sequoia Capital, Sofina, Lightspeed Ventures",Private Equity,50000000.0,Education - Online Learning App
Cureinstant,Consumer Internet,Delhi,Dr. Rameshwar Kumar,Seed,150000.0,Consumer Internet - Social Health Networking Platform
Poshtic,Consumer Internet,Noida,"Havya Sharma, Amit Nagar",Seed,450000.0,Consumer Internet - Online health & Wellness platform
Purple Style Labs,Consumer Internet,Mumbai,"Augment Ventures, Rahul Kayan, Nikhil Golcha, Shubham Gupta, Roy Kwan",Seed,448000.0,Consumer Internet - Personal Styling Online platform
Inuxu,Technology,Pune,Fork Media,Private Equity,3000000.0,Technology - Online Advertising Solutions
Nykaa,Ecommerce,Mumbai,"Sunil Munjal, Mariwala Family",Private Equity,12300000.0,eCommerce - Online Beauty products eTailer
Glam Studios,Consumer Internet,Noida,"Pradeep Mirani, Aqeel Ahmed, Anand Ladsariya, Nitin Agarwal",Seed,300000.0,Consumer Internet - Beauty Salon Aggregator
Nearbuy,Consumer Internet,Gurugram,Blacksoil Capital Pvt. Ltd.,Private Equity,2500000.0,Consumer Internet - Online Deals & Discount platform
Flocareer,Consumer Internet,Bengaluru,"Balasubramanian Krishnamurthy, Sidhartha Hazarika & Others",Seed,150000.0,Consumer Internet - Jobs & Skill Validation platform
Infeedo,Consumer Internet,Gurugram,"Dheeraj Jain, Palash Jain, Anupam Mittal, Ameera Shah,\\Xc2\\Xa0 Vivek Bhargava, Rahul Singh, Ambarish Gupta,",Seed,200000.0,Consumer Internet - Employee engagement platform
Furlenco,Ecommerce,Bengaluru,Lightbox Ventures And Others,Private Equity,5000000.0,eCommerce - Online furniture rental startup
Gopigeon,Consumer Internet,Bengaluru,Nexus Venture Partners,Private Equity,1500000.0,Consumer Internet - on-demand logistics service provider
Newsdistill,Consumer Internet,Hyderabad,"Ganesh Narasimhan, Ramana Thumu, Sudhir Mallem",Seed,100000.0,Consumer Internet - City based News Aggregator App
Doctorinsta,Consumer Internet,Gurugram,Roundglass Partners,Private Equity,1000000.0,Consumer Internet - Online Doctor Consultations
Milofy,Consumer Internet,Bengaluru,Accel Partners,Seed,750000.0,Consumer Internet - Couple Socialization App
Swiggy,Consumer Internet,Bengaluru,Bessemer Venture Partners,Private Equity,15000000.0,Consumer Internet - Online Food Ordering & Delivery
Justlikenew,Ecommerce,Hyderabad,Letsventure,Seed,500000.0,eCommerce - Online gadget Repair Services Marketplace
Co Life,Consumer Internet,Bengaluru,Undisclosed Investors,Seed,1000000.0,Consumer Internet - shared living and working spaces platform
Pepperfry,Ecommerce,Mumbai,"Goldman Sachs Group, Zodius Technology Fund, Norwest Venture Partners, Bertelsmann India",Private Equity,31300000.0,eCommerce - Furniture eTailer
Equickies,Ecommerce,Ahmedabad,Lothal Angel Ventures,Seed,298000.0,eCommerce - Online Book etailer
Khel Now,Consumer Internet,Delhi,Anglian Omega Network,Seed,350000.0,Consumer Internet - Mobile-based social networking platform
Gadgetwood,Consumer Internet,Delhi,Carpediem Capital,Private Equity,6000000.0,Consumer Internet - On-Demand Gadget repair services platform
Flixy Games,Technology,Bengaluru,Rebright Partners,Seed,425000.0,Technology - Mobile Game Publisher for Indian audience
Hashtaag,Technology,Bengaluru,Undisclosed Investors,Seed,1000000.0,Technology - Mobile App Development company
Pharmarack,Technology,Pune,"Currae Healthtech Fund, Unicorn India Ventures",Private Equity,745000.0,Technology - SAAS application for Pharma Industry
\\Xc2\\Xa0Cloudcherry,Technology,Chennai,"Vertex Ventures, Cisco Ventures, Idg Ventures",Private Equity,6000000.0,Technology - CRM SAAS Platform
Tinystep,Consumer Internet,Bengaluru,Flipkart Logistics Pvt. Ltd,Private Equity,1580000.0,Consumer Internet - Parenting Network Platform
Beardo,Ecommerce,Ahmedabad,Venture Catalysts,Seed,500000.0,eCommerce - Mens Grooming products etailer
Instacar,Consumer Internet,Indore,Swastika Co Ltd.,Seed,1000000.0,Consumer Internet - Out-Station Taxi Rental Platform
Celes Care,Consumer Internet,Hyderabad,Endiya Partners,Seed,1000000.0,Consumer Internet - Virtual Health Clinic for Women
Druva,Technology,Pune,"Sequoia India, Edbi, Blue Cloud Ventures, Hercules Capital",Private Equity,51000000.0,Technology - Cloud Based Data Protection Solution
Promon,Ecommerce,Delhi,Now Capital,Seed,180000.0,eCommerce - Local Commerce Platform
Unocoin,Consumer Internet,Bengaluru,"Blume Ventures, Mumbai Angels, Ah! Ventures, Digital Currency Group, Boost Vc, Bank To The Future And Funders Club",Private Equity,1500000.0,Consumer Internet - Bitcoin Wallet
Zeta,Technology,Mumbai,Bhavin Turakhia,Private Equity,19000000.0,Technology - Enterprise Cloud Solutions
Healthkart,Ecommerce,Gurugram,"Sequoia Capital India, Omidyar Network, Kae Capital",Private Equity,12000000.0,eCommerce - Online Pharmacy & Health Marketplace
Medinfi,Consumer Internet,Bengaluru,"Mudit Saxena, Evan Lim",Seed,200000.0,Consumer Internet - Doctor & Clinic\\xc2\\xa0 Discovery Platform
Repaireasy,Consumer Internet,Pune,Undisclosed Hnis,Seed,275000.0,Consumer Internet - Gadget Repair Services Platform
Voonik,Ecommerce,Bengaluru,Innoven Capital,Private Equity,3000000.0,eCommerce - Online Women\\xe2\\x80\\x99s Fashion Marketplace
Tokri,Consumer Internet,Pune,Syska Led Group,Private Equity,2500000.0,Consumer Internet - Hyperlocal Grocery Delivery platform
Sheroes,Consumer Internet,Noida,"Lumis Partners, The Hr Fund, Rajul Garg, Quintillion Media",Private Equity,1800000.0,Consumer Internet - Online Job and Career Platform for Women
Yumlane,Food & Beverage,Mumbai,"Binny Bansal, Anupam Mittal, Sachin Bhatia, Darius Pandole, Kunal Khattar, Dheerag Jain",Seed,1000000.0,Food & Beverage - Retail Food & Snack Offline centres
Extracarbon,Consumer Internet,Gurugram,Brand Capital,Seed,225000.0,Consumer Internet - Waste Recycle Management platform
Flickbay,Consumer Internet,Mumbai,Paul Roy,Seed,890000.0,Consumer Internet - Mobile Based Bollywood Discovery platform
Petoo,Consumer Internet,Bengaluru,Existing Investors,Seed,500000.0,Consumer Internet - Food Delivery Platform
Vst Travels,Technology,Kerala,Promatus Group,Seed,27000.0,Technology - Travel Ticket Booking Software
Wefly Indoor Skydiving,Others,Mumbai,Swastika Company Ltd.,Seed,40000.0,Others - Indoor Skydiving Sports Provider
Mojarto,Ecommerce,Gurugram,Undisclosed Investors,Seed,445000.0,"eCommerce - Original Art, Digital Prints etailer"
Zipgrid,Consumer Internet,Mumbai,1Crowd (Through Crowd Funding),Seed,200000.0,Consumer Internet - Community services platform
Vebbler,Consumer Internet,Bengaluru,"Anupam Mittal, Sharad Sharma & 14 Others",Seed,500000.0,Consumer Internet - Photo Sharing Mobile App
Bombay Shaving Company,Ecommerce,Delhi,"Noshir Kaka, Subramanian Ramadorai, Kiran Deshpande, Pankaj Gupta, Ravi Nigam & Others",Seed,600000.0,eCommerce - Men\\xe2\\x80\\x99s Grooming Product etailer
Travelyaari,Consumer Internet,Bengaluru,"Gujarat Venture Finance Limited (Gvfl), Bennett Coleman & Co. Ltd",Private Equity,7000000.0,Consumer Internet - Online ticket booking platform
Genextstudents,Consumer Internet,Mumbai,1Crowd (Through Crowdfunding),Seed,209000.0,Consumer Internet - Online Tutoring Service provider
Zenoti,Technology,Hyderabad,"Norwest Venture Partners, Accel India",Private Equity,15000000.0,Technology - Cloud Based Software Solutions Provider
Crofarm,Technology,Gurugram,"Mukul Singhal, Rohit Jain, Himanshu Aggrawal, Sunil Goyal Ashish Gupta,",Private Equity,1500000.0,Technology - Agri-Tech supply chain Solution provider
Faircent.Com,Consumer Internet,Gurugram,Brand Capital,Private Equity,1500000.0,Consumer Internet - peer-to-peer lending platform
Innovaccer,Technology,Noida,Westbridge Capital Partners,Private Equity,15600000.0,Technology - Integrated Enterprise Analytics Platform
Cuberoot,Technology,Gurugram,Undisclosed Investors,Seed,500000.0,Technology - Data Analytics & Audience Management Platform
Oyorooms,Consumer Internet,Delhi,Softbank Group,Private Equity,62000000.0,Consumer Internet - Budget Hotels Aggregator
Hike,Consumer Internet,Delhi,"Tencent Holdings, Foxconn Technology Group, Tiger Global, Softbank Group, Bharti Enterprises",Private Equity,175000000.0,Consumer Internet - Mobile Messaging App
Joolz,Ecommerce,Mumbai,"Powerhouse Ventures, M&S Partners",Private Equity,500000.0,eCommerce - Online Jewellery Store
Salebhai,Ecommerce,Ahmedabad,Brand Capital,Private Equity,1500000.0,"eCommerce - Sweets, Dry Fruits & Handicrafts etailer"
Makkajai,Technology,Pune,"Anand Chandrasekaran, Ananth Narayanan, Mekin Maheshwari, Ravi Garikipati, Divyesh Shah, Swastika Company Ltd",Seed,250000.0,Technology - Online & Mobile learning for kids
Maalgaadi,Logistics,Indore,"Swan Angel Network,Sachin Khandelwal And Others",Seed,375000.0,Logistics - Online Logistics Marketplace
Appknox,Technology,Bengaluru,"Seedplus, Infocomm Investments, Accel Partners Rnt Associates",Private Equity,675000.0,Technology - Mobile security solutions
Quikr,Consumer Internet,Mumbai,Brand Capital,Private Equity,20000000.0,Consumer Internet - Classified Listings platform
Digio,Technology,Bengaluru,Rainmatter,Private Equity,375000.0,Technology - Aadhar based Document Signing platform
Puro Wellness,Healthcare,Mumbai,Torrent Group,Private Equity,37000000.0,"healthcare - Organic,\\xc2\\xa0 Natural\\xc2\\xa0 Food substitute manufacturer"
Notesgen,Consumer Internet,Delhi,"Riju Gupta, Kamal Chabra",Seed,100000.0,Consumer Internet - Online Notes Sharing Portal
Octo.Ai,Technology,Delhi,"Outbox Ventures, Jaspreet Bindra, Arjun Malhotra, Rohan Malhotra, Sidharth Rao, Rakesh Agrawal",Seed,200000.0,Technology - Artificial Intelligence based marketing platform
Unaacademy,Consumer Internet,Bengaluru,"Blume Ventures, Sachin Bansal, Vijay Shekhar Sharma, Binny Bansal,\\Xc2\\Xa0 Kunal Shah, Sandeep Tandon, Ashish Tulsian",Private Equity,1000000.0,Consumer Internet - Free Interactive education platform
Advenio,Technology,Chandigarh,Kalaari Capital,Seed,100000.0,Technology - Clinical Imaging Solution Provider
Guarented,Ecommerce,Bengaluru,Kalaari Capital,Seed,500000.0,eCommerce - Home Furnishing rental marketplace
Uber Dreams,Ecommerce,Mumbai,Mohit Lalvani,Seed,500000.0,eCommerce - Dreams fulfilling marketplace
Convegenius,Education,Noida,Michael And Susan Dell Foundation,Private Equity,900000.0,Education - Edutainment platform
Urbanladder,Ecommerce,Mumbai,Trifecta Capital,Private Equity,3000000.0,eCommerce - Online Furniture Store
Cult,Healthcare,Bengaluru,Curefit,Private Equity,3000000.0,Healthcare - Health and Fitness Centres
Zoomcar,Consumer Internet,Bengaluru,Ford Smart Mobility Llc,Private Equity,24000000.0,Consumer Internet - Self-driven car booking platform
Plix,Consumer Internet,Gurugram,Instalabs,Seed,500000.0,Consumer Internet - Photo and Video Sharing App
Mobikwik,Consumer Internet,Gurugram,Net1 Ueps Technologies Inc,Private Equity,40000000.0,Consumer Internet - Digital Wallet platform
Mydidi,Consumer Internet,Mumbai,Undisclosed Ex Mckinsey Directors And Partners,Seed,550000.0,"Consumer Internet - on-demand, hyper-local Cleaning services provider"
Loantap,Consumer Internet,Mumbai,"Dr. Abhishek Pandey, Jaysukh Sapra",Private Equity,3000000.0,Consumer Internet - Lending platform for Salaried professionals
Runnr,Consumer Internet,Bengaluru,"Nexus Venture Partners, Blume Ventures",Private Equity,7000000.0,Consumer Internet - hyperlocal Logistics services provider
Notion Press,Consumer Internet,Chennai,Undisclosed Hni Investors,Private Equity,1000000.0,Consumer Internet - Self-Publishing books platform
Livspace,Consumer Internet,Bengaluru,"Bessemer Venture Partners, Jungle Ventures, Helion Ventures",Private Equity,15000000.0,Consumer Internet - Online portal for Home Design
Iaugmentor Labs,Technology,Gurugram,Rajasthan Angel Investor Network & Others,Seed,149000.0,Technology - Assessment & Learning Platform
Daybox,Consumer Internet,Delhi,"Ashutosh Lawania, Rajul Jain, Badal Malick, Rishi Gupta & Others",Seed,104000.0,Consumer Internet - Fruit & Vegetable Delivery platform
Paytm,Ecommerce,Bengaluru,Mediatek Inc.,Private Equity,60000000.0,eCommerce - Mobile Wallet & ECommerce platform
Cropin,Technology,Bengaluru,Sophia Investment Aps,Private Equity,2000000.0,Technology - Agriculture Technology Solutions
Canvera,Consumer Internet,Bengaluru,Info Edge (India) Ltd,Private Equity,3000000.0,Consumer Internet - Photographer Discovery & Information platform
Flyrobe,Ecommerce,Mumbai,"Idg Ventures, Sequoia Capital, Gree Ventures",Private Equity,5300000.0,eCommerce - Online fashion rental platform
Venture Catalysts,Consumer Internet,Mumbai,Zaffiro Ventures,Seed,500000.0,Consumer Internet - Seed Investment & Innovation Platform
Playment,Consumer Internet,Bengaluru,Saif Partners,Private Equity,700000.0,Consumer Internet - Mobile Marketplace for Crowdsourced Work
Curefit,Consumer Internet,Bengaluru,"Accel Partners, Idg Ventures, Kalaari Capital",Private Equity,15000000.0,Consumer Internet - Online Preventive Healthcare Platform
Stitchwood,Ecommerce,Mumbai,Deepak Gupta,Seed,200000.0,eCommerce - Custom Furniture Online
Grab.In,Logistics,Mumbai,Aramex Ventures Llc,Private Equity,2000000.0,Logistics - hyperlocal logistics service
Neogrowth,Finance,Mumbai,"Iifl Wealth Management Seed Venture Fund, Omidyar Network, Khosla Impact, Aspada",Private Equity,16000000.0,Finance - SME Lending platform
Seedoc,Consumer Internet,Gurugram,Yournest Angel Fund\\Xc2\\Xa0 & Others,Private Equity,1000000.0,Consumer Internet - Video Based Doctor Consulting platform App
Bookmyshow,Consumer Internet,Mumbai,"Stripes Group, Network 18, Accel Partners, Saif Partners",Private Equity,82000000.0,Consumer Internet - Event & Movie Ticketing platform
Flyrobe,Ecommerce,Mumbai,"Sequoia Capital, Rohit Bansal, Kunal Bahl, Sandeep Tandon, Kunal Shah, Zishaan Hayath,\\Xc2\\Xa0 Abhishek Jain",Seed,1700000.0,eCommerce - Online fashion rental platform
Happilyunmarried,Ecommerce,Delhi,Info Edge (India) Ltd,Private Equity,740000.0,eCommerce - Online Merchandize etailer
Don\\Xe2\\X80\\X99T Scratch Your Head,Technology,Ahmedabad,"Gaurav Singhvi, Zaffiro Ventures",Seed,250000.0,Technology - Full Stack Offline & Online ERP Solution
Wedding Wishlist,Consumer Internet,Chennai,"Kirthiga Reddy, Renuka Ramanath,Cherry Tin",Seed,297000.0,"Consumer Internet - Wedding Wishlist, Gifts & Registry Creation platform"
Appdaily,Technology,Mumbai,"Kalaari Capital, Qualcomm Ventures, Ru-Net, Zodius Technology Opportunities Fund,",Private Equity,2000000.0,Technology - Mobile Security App development & Distribution
Adytude,Consumer Internet,Delhi,Indian Angel Network,Private Equity,1000000.0,Consumer Internet - Gamified Consumer Insights Portal
Holachef,Consumer Internet,Mumbai,"Kalaari Capital, India Quotient",Private Equity,1950000.0,Consumer Internet - Online Food Ordering & Delivery Platform
Purplle,Ecommerce,Mumbai,"Jsw Ventures, Blume Ventures & Ivycap Ventures",Private Equity,6000000.0,eCommerce - Beauty Products Marketplace
Trak N Tell,Technology,Gurugram,Brian Acton,Private Equity,3500000.0,Technology - Car Tracking & Safety System
Overcart.Com,Ecommerce,Gurugram,"Jsw Ventures, Omidyar Network, Sattva Capital, Venture Works",Private Equity,3000000.0,eCommerce - Unboxed & refurbished electronic products marketplace
Sirionlabs,Technology,Gurugram,Sequoia Capital,Private Equity,12250000.0,Technology - SAAS based Service Agreement Management
Yaap,Consumer Internet,Delhi,Rainmaker Ventures,Private Equity,5000000.0,"Consumer Internet - Online Content Discovery, Creation & Distribution Platform"
Twigly,Consumer Internet,Gurugram,"Tracxn Labs, Hyderabad Angels, Kunal Shah, Gaurav Bhalotia",Seed,600000.0,Consumer Internet - Online Food Ordering & Delivery Startup
Sharechat,Consumer Internet,Bengaluru,"Saif Partners, India Quotient",Private Equity,1350000.0,Consumer Internet - Vernacular Language Content Creation & Sharing App
Rentmojo,Consumer Internet,Bengaluru,"Accel Partners, Idg Ventures India",Private Equity,5000000.0,Consumer Internet - Online Furniture Renting Platform
Augrav,Ecommerce,Coimbatore,Keiretsu Forum,Seed,450000.0,eCommerce - Personalized precious Jewellery etailer
Shoppinpal,Technology,Pune,"Plug And Play Tech Center, Steelhead Ventures & Others",Private Equity,1070000.0,Technology - M-Commerce Solutions for Retail Stores
Workapps,Technology,Pune,Sri Capital,Seed,1000000.0,Technology - Enterprise Work Management Software
Bankerbay,Consumer Internet,Bengaluru,Undisclosed Investors,Private Equity,2000000.0,Consumer Internet - Online Investment Banking platform
Tripshelf,Ecommerce,Delhi,Gems Group,Seed,250000.0,eCommerce - Travel Package Marketplace
Ridlr,Consumer Internet,Mumbai,"Times Internet, Innoven Capital, Matrix Partners India, Qualcomm Ventures",Private Equity,6000000.0,Consumer Internet - Public Transport Mobile App
Yellowdig,Consumer Internet,Pune,Sri Capital,Seed,650000.0,Consumer Internet - Online Learning Platform
Zuppler,Consumer Internet,Delhi,Sri Capital,Seed,650000.0,Consumer Internet - Online Food Ordering platform
Bluestone,Ecommerce,Mumbai,"Iifl And Accel Partners, Kalaari Capital, Ivycap Ventures, Rb Investments",Private Equity,30000000.0,eCommerce - Jewellery Etailer
Sagacito,Technology,Delhi,Star India Pvt. Ltd,Private Equity,10000000.0,Technology - Cloud-Based Enterprise Solutions
Deal4Loans / Wishfin,Consumer Internet,Noida,Franklin Templeton International Services Pvt. Ltd,Private Equity,15000000.0,Consumer Internet - \\nLoans Comparison platform\\n\\n\\n\\n     (adsbygoogle = window.adsbygoogle || []).push({});\\n\\n
Niyo Solutions,Technology,Bengaluru,Prime Venture Partners,Private Equity,1000000.0,Technology - Payroll & Benefits Software solutions
Applop,Consumer Internet,Gurugram,Green House Ventures Accelerator,Seed,250000.0,Consumer Internet - Mobile Apps SaaS Platform
Tax2Win,Consumer Internet,Jaipur,Undisclosed Investors,Private Equity,1000000.0,Consumer Internet - Online Tax Filing Portal
Truckola,Logistics,Mumbai,"Abhishek Agarwal, Krishnakumar Nataraj, Sarath Sura, Shanti Mohan, Sarthak And Nihit Agarwal, Suramya Gupta",Seed,595000.0,Logistics - Tech-focused cargo transport startup
Mytaxiindia,Consumer Internet,Delhi,Nihon Kotsu Co,Private Equity,1000000.0,Consumer Internet - Online Car rental booking platform
